Matchday,Date,Venue,For,For.1,Opponent,Opponent.1,Result,Pos.,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1,8/24/19,A,,,,Parma,0:1,LW,,,,,,90',,,
2,8/31/19,H,,(7.),,Napoli (3.),4:3,LW,1,,,,,90',,,
3,9/14/19,A,,(2.),,Fiorentina (16.),0:0,LW,,,,,,90',,,
4,9/21/19,H,,(3.),,Hellas Verona (11.),2:1,LW,1,1,,,,90',,,
5,9/24/19,A,,(2.),,Brescia (9.),1:2,Adductor pain,Adductor pain,Adductor pain,Adductor pain,Adductor pain,Adductor pain,Adductor pain,Adductor pain,,
6,9/28/19,H,,(2.),,SPAL (19.),2:0,CF,1,,,,,90',,,
7,10/6/19,A,,(2.),,Inter (1.),1:2,CF,,,,,,90',,,
8,10/19/19,H,,(1.),,Bologna (13.),2:1,CF,1,,,,,90',,,
9,10/26/19,A,,(1.),,Lecce (17.),1:1,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,,
10,10/30/19,H,,(1.),,Genoa (17.),2:1,CF,1,,,,,90',,,
11,11/2/19,A,,(1.),,Torino (14.),0:1,CF,,,,,,90',,,
12,11/10/19,H,,(1.),,AC Milan (13.),1:0,CF,,,,,,55',,,
13,11/23/19,A,,(1.),,Atalanta BC (5.),1:3,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,,
14,12/1/19,H,,(1.),,Sassuolo (11.),2:2,CF,1,,,,,90',,,
15,12/7/19,A,,(2.),,Lazio (3.),3:1,CF,1,,,,,90',,,
16,12/15/19,H,,(2.),,Udinese (16.),3:1,CF,2,,,,,90',,,
17,12/18/19,A,,(1.),,Sampdoria (15.),1:2,LW,1,,,,,90',,,
18,1/6/20,H,,(1.),,Cagliari (6.),4:0,CF,3,1,,,,90',,,
19,1/12/20,A,,(1.),,AS Roma (4.),1:2,CF,1,,,,,90',,,
20,1/19/20,H,,(1.),,Parma (7.),2:1,CF,2,,,,,90',,,
21,1/26/20,A,,(1.),,Napoli (12.),2:1,LW,1,,90 + 3',,,90',,,
22,2/2/20,H,,(1.),,Fiorentina (13.),3:0,LW,2,,,,,90',,,
23,2/8/20,A,,(1.),,Hellas Verona (9.),2:1,LW,1,,,,,90',,,
24,2/16/20,H,,(1.),,Brescia (19.),2:0,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,,
25,2/22/20,A,,(1.),,SPAL (20.),1:2,LW,1,,,,,90',,,
26,3/8/20,H,,(1.),,Inter (3.),2:0,LW,,1,87',,,90',,,
27,6/22/20,A,,(1.),,Bologna (10.),0:2,LW,1,,,,,90',,,
28,6/26/20,H,,(1.),,Lecce (18.),4:0,LW,1,2,,,,90',,,
29,6/30/20,A,,(1.),,Genoa (17.),1:3,LW,1,,,,,74',,,
30,7/4/20,H,,(1.),,Torino (13.),4:1,LW,1,1,,,,90',,,
31,7/7/20,A,,(1.),,AC Milan (7.),4:2,LW,1,,,,,90',,,
32,7/11/20,H,,(1.),,Atalanta BC (3.),2:2,LW,2,,,,,90',,,
33,7/15/20,A,,(1.),,Sassuolo (8.),3:3,LW,,,62',,,90',,,
34,7/20/20,H,,(1.),,Lazio (4.),2:1,LW,2,,,,,90',,,
35,7/23/20,A,,(1.),,Udinese (16.),2:1,LW,,,,,,90',,,
36,7/26/20,H,,(1.),,Sampdoria (14.),2:0,LW,1,1,,,,90',,,
37,7/29/20,A,,(1.),,Cagliari (14.),2:0,LW,,,,,,90',,,
38,8/1/20,H,,(1.),,AS Roma (5.),1:3,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,,
"Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0","Squad: 33,  Starting eleven: 33,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 1,  Absence: 0"
