O'rin,Jamoa,O’yin,G’alaba,Durang,Mag’lubiyat,UG,O’G,TF,Ochko,Form,More
1,Nasaf,20,12,7,1,36,16,20,43,G’G’MDG’,
2,Neftchi,20,12,6,2,33,16,17,42,G’G’G’G’M,
3,Dinamo,20,10,8,2,30,23,7,38,DG’DG’D,
4,OKMK,20,11,4,5,29,20,9,37,G’MDG’G’,
5,Paxtakor,20,11,3,6,42,19,23,36,G’G’DMG’,
6,Bunyodkor,20,9,8,3,32,21,11,35,DG’MDG’,
7,Navbahor,20,9,5,6,37,23,14,32,DMG’DD,
8,Qizilqum,20,6,8,6,18,26,-8,26,DG’DG’D,
9,Surxon,20,6,5,9,18,23,-5,23,MMG’DD,
10,So‘g‘diyona,20,5,6,9,22,25,-3,21,DMG’DM,
11,Andijon,20,5,6,9,25,32,-7,21,MMMDG’,
12,Xorazm,20,5,4,11,23,26,-3,19,MMDDG’,
13,Mash'al,20,5,3,12,16,38,-22,18,MG’MMM,
14,Qo'qon-1912,20,5,3,12,15,32,-17,18,MG’G’MM,
15,Buxoro,20,4,5,11,19,32,-13,17,G’MDMM,
16,Sho'rtan,20,2,5,13,14,37,-23,11,DMMDM,
